INSTNM,CITY,STABBR,ZIP,INSTURL,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG_ALL
Crawford County Career and Technical Center Practical Nursing Program,Meadville,PA,16335,www.crawfordctc.org,41.633675,-80.126167,NULL,NULL
Texas College of Cosmetology-San Angelo,San Angelo,TX,76904,www.texascollegecosmetology.com,31.41998,-100.472661,NULL,NULL
Beauty Schools of America-Hialeah,Hialeah,FL,33012-3322,www.bsa.edu,25.865861,-80.304716,NULL,NULL
Automeca Technical College-Bayamon,Bayamon,PR,961,www.automeca.com,18.406869,-66.184522,NULL,NULL
Automeca Technical College-Caguas,Caguas,PR,725,www.automeca.com,18.230309,-66.037188,NULL,NULL
Automeca Technical College-Ponce,Ponce,PR,731,www.automeca.com,18.010869,-66.634948,NULL,NULL
Everest University-Melbourne,Melbourne,FL,32935,www.everest.edu/campus/melbourne,28.121687,-80.657429,NULL,NULL
Centura College-Chesapeake,Chesapeake,VA,23320,www.centuracollege.edu,36.765954,-76.227712,NULL,NULL
University of Phoenix-Hawaii,Honolulu,HI,96813-3800,www.phoenix.edu,21.30851,-157.863315,NULL,NULL
Florida College of Natural Health-Miami,Miami,FL,33126,www.steinered.com/,25.782702,-80.324576,NULL,NULL
Prism Career Institute-Cherry Hill,Cherry Hill,NJ,8002,prismcareerinstitute.edu,39.931301,-75.051138,0.4745,NULL
Francois D College of Hair Skin and Nails,Taylorsville,UT,84129,francoisdcollege.com,40.58957,-111.892431,NULL,NULL
Southwest College of Naturopathic Medicine & Health Sciences,Tempe,AZ,85282,www.scnm.edu,33.408742,-111.894935,NULL,NULL
Escuela de Peritos Electricistas de Isabela Inc,Isabela,PR,662,www.epei.edu,18.49706,-67.026567,NULL,NULL
Virginia College-Birmingham,Birmingham,AL,35209,www.vc.edu,33.46999,-86.817687,NULL,NULL
Virginia College-Huntsville,Huntsville,AL,35801,www.vc.edu,34.70516,-86.591341,NULL,NULL
Yeshiva D'monsey Rabbinical College,Monsey,NY,10952,yeshivadmonsey.com,41.115776,-74.065944,0.3889,NULL
Lincoln Technical Institute-Mahwah,Mahwah,NJ,7430,www.lincolnedu.com/campus/mahwah-nj,41.083771,-74.148846,NULL,NULL
Career Technical Institute,Washington,DC,20005,www.careertechnical.edu,38.904,-77.032461,NULL,NULL
Northwest Vista College,San Antonio,TX,78251,alamo.edu/nvc/,29.471082,-98.708405,NULL,NULL
ITT Technical Institute-Getzville,Getzville,NY,14068-0327,www.itt-tech.edu,43.012044,-78.770457,0.9615,NULL
Oconee Fall Line Technical College,Sandersville,GA,31082,www.oftc.edu,32.996687,-82.839621,NULL,NULL
York County Community College,Wells,ME,4090,www.yccc.edu,43.306823,-70.590835,NULL,NULL
Northeast Technology Center-Afton,Afton,OK,74331,www.netech.edu,36.730369,-94.929123,NULL,NULL
Western Suffolk BOCES,Northport,NY,11768,www.wilsontech.org/,40.704982,-73.375381,NULL,NULL
Sanford-Brown College-Atlanta,Atlanta,GA,30328,www.sanfordbrown.edu/Atlanta,33.938617,-84.355739,NULL,NULL
Arkansas State University-Mountain Home,Mountain Home,AR,72653,www.asumh.edu,36.335336,-92.383355,NULL,1088
Columbia Gorge Community College,The Dalles,OR,97058,www.cgcc.edu,45.590724,-121.190197,NULL,NULL
Arizona State University-Polytechnic,Mesa,AZ,85212,www.asu.edu/,33.307114,-111.685485,0.795,1143
Colleen O'Haras Beauty Academy,Santa Ana,CA,92701-0000,colleenoharasbeautyacademy.edu,33.748001,-117.868152,NULL,NULL
Bakke Graduate University,Dallas,TX,75243-7039,www.bgu.edu,32.89439,-96.753831,NULL,NULL
Tillamook Bay Community College,Tillamook,OR,97141,www.tbcc.cc.or.us/,45.457232,-123.837267,NULL,NULL
Argosy University-Schaumburg,Schaumburg,IL,60173-5403,www.argosy.edu/schaumburg,42.046739,-88.042083,NULL,NULL
Manhattan School of Computer Technology,Brooklyn,NY,11230-1401,www.manhattanschool.edu,40.634492,-73.967148,NULL,NULL
Brown Mackie College-Hopkinsville,Hopkinsville,KY,42240-4948,www.brownmackie.edu/locations/hopkinsville,36.834025,-87.474774,NULL,NULL
Indian Capital Technology Center-Sallisaw,Sallisaw,OK,74955,www.ictctech.com,35.445835,-94.790087,NULL,NULL
Indian Capital Technology Center-Stilwell,Stilwell,OK,74960,www.ictctech.com,35.841572,-94.634361,NULL,NULL
Hairitage Hair Academy,Saint George,UT,84770-0000,hairitagehairacademy.com,37.082855,-113.606094,NULL,NULL
Houghton Lake Institute of Cosmetology,Houghton Lake,MI,48629-9702,hl.instituteofcos.com,44.309409,-84.760331,NULL,NULL
Arizona College-Glendale,Glendale,AZ,85302,www.arizonacollege.edu,33.567495,-112.154247,NULL,NULL
